Date,ASIAN Open,ASIAN High,ASIAN Low,ASIAN Close,ASIAN Adj Close,ASIAN Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,Drop Down,,,,Date,Dmart High,ASIAN High
3/24/2021,2410.300049,2470,2410,2443.550049,2368.210938,4132092,2967,2967,2841.75,2855.75,2855.75,25783,,,Dmart High,,,,3/24/2021,2967,2470
3/25/2021,2450.949951,2469,2392,2402.199951,2328.135986,2272545,2872,2890.600098,2775,2795.25,2795.25,48610,,,ASIAN High,,,,3/25/2021,2890.600098,2469
3/26/2021,2425,2513.949951,2409.100098,2505.149902,2427.911621,3084607,2827,2897,2807.199951,2854.800049,2854.800049,23383,,,Dmart,,,,3/26/2021,2897,2513.949951
3/30/2021,2539.100098,2583.449951,2521.5,2578.050049,2498.564209,2332884,2897,2916.350098,2808.850098,2834.350098,2834.350098,27046,,,,,,,3/30/2021,2916.350098,2583.449951
3/31/2021,2578.050049,2582.949951,2531,2537.399902,2459.167725,1616044,2890,2890,2830,2854.050049,2854.050049,17028,,,,,,,3/31/2021,2890,2582.949951
4/1/2021,2532,2564.550049,2532,2551.75,2473.075195,1219588,2890,2925,2860,2911.399902,2911.399902,14970,,,,,,,4/1/2021,2925,2564.550049
4/5/2021,2558,2558,2484.5,2510.649902,2433.241943,1268939,2909.949951,2909.949951,2795,2848.399902,2848.399902,21311,,OPEN,2855.75,,,,4/5/2021,2909.949951,2558
4/6/2021,2526,2620,2504.5,2611.600098,2531.079834,3372846,2879,2879,2824.399902,2844.850098,2844.850098,54802,,HIGH,48610,,,,4/6/2021,2879,2620
4/7/2021,2605,2668.050049,2600.100098,2628.600098,2547.555908,1937977,2850,2898.449951,2836.050049,2889.199951,2889.199951,37262,,LOW,0,,,,4/7/2021,2898.449951,2668.050049
4/8/2021,2630,2658.399902,2628,2650.649902,2568.925781,897483,2899.899902,2955.649902,2897.600098,2935.350098,2935.350098,23204,,52 WEEK HIGH,2677,,,,4/8/2021,2955.649902,2658.399902
4/9/2021,2635,2655,2610.149902,2630.800049,2549.687744,1185017,2939,2972,2920,2947.550049,2947.550049,14850,,52 WEEK LOW,5899.899902,,,,4/9/2021,2972,2655
4/12/2021,2578.199951,2610,2555,2602.199951,2521.969482,1427691,2923,2923,2790,2816.25,2816.25,28663,,,,,,,4/12/2021,2923,2610
4/13/2021,2600,2626,2564.300049,2570.699951,2491.440674,1200230,2822.199951,2884.25,2812.050049,2834.550049,2834.550049,31399,,,,,,,4/13/2021,2884.25,2626
4/15/2021,2590,2593.550049,2537,2587.699951,2507.916748,1209829,2803,2950,2803,2932.75,2932.75,35167,,,,,,,4/15/2021,2950,2593.550049
4/16/2021,2587.600098,2693.5,2581.699951,2663.699951,2581.57373,2760777,2938,2981.949951,2893.699951,2919.399902,2919.399902,46711,,,,,,,4/16/2021,2981.949951,2693.5
4/19/2021,2650,2650,2566.850098,2571.899902,2492.604248,1552036,2872.300049,2872.300049,2817,2852.699951,2852.699951,16843,,,,,,,4/19/2021,2872.300049,2650
4/20/2021,2600,2604.699951,2528.800049,2553.649902,2474.91626,1489287,2880,2889.199951,2756.550049,2778.300049,2778.300049,33616,,,,,,,4/20/2021,2889.199951,2604.699951
4/22/2021,2555.649902,2557,2488,2511.25,2433.823975,1690758,2785,2791.449951,2678.300049,2715.649902,2715.649902,80781,,,,,,,4/22/2021,2791.449951,2557
4/23/2021,2527.100098,2565,2496.199951,2517.949951,2440.317627,1614593,2715.649902,2746.199951,2677,2711.850098,2711.850098,23137,,,,,,,4/23/2021,2746.199951,2565
4/26/2021,2530,2575,2530,2557.899902,2479.035645,1103980,2740,2820.300049,2721,2807.949951,2807.949951,27467,,,,,,,4/26/2021,2820.300049,2575
4/27/2021,2545,2579.899902,2534,2574.350098,2494.978271,866331,2824,2864.949951,2811.050049,2827.75,2827.75,21917,,,,,,,4/27/2021,2864.949951,2579.899902
4/28/2021,2588,2620.25,2575,2614.550049,2533.938965,1065561,2865,2952.949951,2849,2936.949951,2936.949951,61905,,,,,,,4/28/2021,2952.949951,2620.25
4/29/2021,2630,2642,2570,2613.449951,2532.872559,1295346,2949.949951,2986.899902,2879.949951,2900,2900,48397,,,,,,,4/29/2021,2986.899902,2642
4/30/2021,2595,2605.800049,2524.050049,2536.399902,2458.198486,1384907,2899,2930,2820,2858.550049,2858.550049,17987,,,,,,,4/30/2021,2930,2605.800049
5/3/2021,2510,2595.100098,2505.600098,2582.149902,2502.537598,1034774,2835,2910,2820.800049,2897.600098,2897.600098,26570,,,,,,,5/3/2021,2910,2595.100098
5/4/2021,2605,2617.949951,2571.550049,2587.149902,2507.383545,1058140,2914,2934.800049,2850,2858.949951,2858.949951,11954,,,,,,,5/4/2021,2934.800049,2617.949951
5/5/2021,2617,2617,2546.100098,2567.649902,2488.484863,1220186,2884,2889,2854.149902,2875.649902,2875.649902,16494,,,,,,,5/5/2021,2889,2617
5/6/2021,2579.850098,2581.850098,2528,2549.050049,2470.458496,1518119,2861,2893.649902,2851,2878.050049,2878.050049,13623,,,,,,,5/6/2021,2893.649902,2581.850098
5/7/2021,2555,2590,2541.5,2551.649902,2472.978516,1416102,2895,2954.949951,2851,2888.75,2888.75,17826,,,,,,,5/7/2021,2954.949951,2590
5/10/2021,2589,2589,2542.149902,2556.949951,2478.114746,1526814,2939,2957.600098,2840.199951,2853.199951,2853.199951,40512,,,,,,,5/10/2021,2957.600098,2589
5/11/2021,2533,2562,2521.300049,2556.25,2477.436523,1168363,2841.399902,2884,2823.899902,2849.649902,2849.649902,31143,,,,,,,5/11/2021,2884,2562
5/12/2021,2577,2588.949951,2530,2556.199951,2477.387939,2085630,2865,2873.050049,2829.899902,2856.199951,2856.199951,11513,,,,,,,5/12/2021,2873.050049,2588.949951
5/14/2021,2620,2835.25,2601.550049,2774.5,2688.957275,10543708,2875,2875,2830,2843.050049,2843.050049,20575,,,,,,,5/14/2021,2875,2835.25
5/17/2021,2782,2824.199951,2747.550049,2782.75,2696.952881,2134352,2864,2909,2841.800049,2895.600098,2895.600098,19884,,,,,,,5/17/2021,2909,2824.199951
5/18/2021,2797,2845,2789,2821.800049,2734.799316,1328605,2915,3079,2913.5,3054.5,3054.5,44509,,,,,,,5/18/2021,3079,2845
5/19/2021,2805.149902,2849,2798.649902,2815.850098,2729.032471,1219067,3071,3094.800049,3009.149902,3024.449951,3024.449951,54046,,,,,,,5/19/2021,3094.800049,2849
5/20/2021,2814,2845,2778.5,2794.100098,2707.953125,1211975,3044.449951,3052.25,3000.050049,3025.75,3025.75,14489,,,,,,,5/20/2021,3052.25,2845
5/21/2021,2807,2854,2795,2832.5,2745.169678,1328308,3055,3068.850098,3014.350098,3032.449951,3032.449951,24280,,,,,,,5/21/2021,3068.850098,2854
5/24/2021,2846,2849,2808.199951,2819.199951,2732.279053,813091,3060,3061.699951,3019.399902,3036.75,3036.75,15829,,,,,,,5/24/2021,3061.699951,2849
5/25/2021,2836.899902,2922.649902,2822.75,2914.399902,2824.543945,2730112,3059.899902,3122.399902,3055,3103.25,3103.25,25818,,,,,,,5/25/2021,3122.399902,2922.649902
5/26/2021,2939.850098,2947.899902,2910.399902,2941.600098,2850.905518,1250531,3129.600098,3135,3070,3095.899902,3095.899902,17227,,,,,,,5/26/2021,3135,2947.899902
5/27/2021,2950,2965,2902.25,2949.350098,2858.416504,2415085,3099.899902,3109.699951,3007.050049,3026.600098,3026.600098,11491,,,,,,,5/27/2021,3109.699951,2965
5/28/2021,2958.149902,2963.800049,2931.149902,2940.699951,2850.032959,711383,3050,3103.550049,2995.199951,3018.149902,3018.149902,36493,,,,,,,5/28/2021,3103.550049,2963.800049
